TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1631245571179552769,@ose_anenih Let them vote for unity 😂,ORINAME,en,,0,0,0,0,,10,2023,3,March,2,Thursday,9,2023-03-02,10:50:25
1630876418576994305,hmmm.,ORINAME,qst,,0,0,0,0,,10,2023,3,March,1,Wednesday,9,2023-03-01,10:23:33
1630231813045010434,@V_Akiluna He is our starboy right now. A clock is right twice a day 😂,ORINAME,en,,0,0,1,0,,15,2023,2,February,27,Monday,9,2023-02-27,15:42:07
1630189653960675331,"@V_Akiluna LP does. If City boy loses Presidential, he won't be ready to let LAGOS GO",ORINAME,en,,0,0,0,0,,12,2023,2,February,27,Monday,9,2023-02-27,12:54:35
1630188004621811713,@V_Akiluna Now is the time for Labour to reach out to PDP. So PDP can collapse structures for Labour. GRV is a PDP product. We need a convincing win.,ORINAME,en,,1,0,0,0,,12,2023,2,February,27,Monday,9,2023-02-27,12:48:02
1629962324827070466,@olawhite I think so too.,ORINAME,en,,0,0,0,0,,21,2023,2,February,26,Sunday,8,2023-02-26,21:51:16
1629863635219513346,"Todd ego won't allow him to sack Porter. By the way, Porter said he is not changing his style. So we are in for a long ride. He even complained about our pre season. Not his fault sha. The new owners are to be blamed",ORINAME,en,,1,0,0,0,,15,2023,2,February,26,Sunday,8,2023-02-26,15:19:06
1629478634107830272,Allow people cast their votes.,ORINAME,en,,0,0,0,0,,13,2023,2,February,25,Saturday,8,2023-02-25,13:49:15
1628838891070320645,@V_Akiluna They will use it for thanksgiving and Easter,ORINAME,en,,1,0,0,0,,19,2023,2,February,23,Thursday,8,2023-02-23,19:27:08
1628432643002978304,Do go out and vote. https://t.co/HxYG0nRyBV,ORINAME,en,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fpla1auXwAM2BWQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fpla1auXwAM2BWQ?format=jpg&name=orig', altText=None)]",16,2023,2,February,22,Wednesday,8,2023-02-22,16:32:51
