TweetId,Text,Username,Language,Hashtags,Cords,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1633234065955471363,"Peter Obi is an INSTITUTION. 
#ObidientMovement 
#PeterObi https://t.co/thZA1nxqRb",Gary_Mazi,en,"['ObidientMovement', 'PeterObi']",,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqppsIFXoAAe5up?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqppsIFXoAAe5up?format=jpg&name=orig', altText=None)]",22,2023,3,March,7,Tuesday,10,2023-03-07,22:32:00
1633233875081084935,May God Bless you Your tweet gives me hope that Peter Obi shall regain his mandate!,Osekita,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:31:14
1633233833817432065,Always in mourning ensemble.. undertaker @PeterObi,OmoTonSor,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:31:04
1633233832546562049,Peter Obi changed the dynamics of politics in Nigeria. Y'all learning fast.,Adiikobi,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:31:04
1633233812548210694,"I just looked at the water my brother was able to get for bathing &amp; cooking and I want to cry...

It's that time of the year when most of the wells in Enugu dry up and ppl have to search long &amp; hard for water. Tankers charge exorbitant amounts &amp; even when you're willing to pay...",NnamaniIfeomaC,en,,,1,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:30:59
1633233657321103363,"He has been setting standards, he will do it again.",Juice_submit,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:30:22
1633233574022479872,"Please sign our petition!  https://t.co/JyTOeSvkxW
nigeria tinubu atiku lagos peter obi imo state kaduna kano admin project management solutions arise tv dele momodu https://t.co/td6VQTHuON",naija_loudmouth,tl,,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqppR9BX0AE53dX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqppR9BX0AE53dX?format=jpg&name=orig', altText=None)]",22,2023,3,March,7,Tuesday,10,2023-03-07,22:30:02
1633233542707593218,"Aluta continue, Victoria dey road dey come😌                                                    #ObidientMovement #PeterObi #NigeriaDecides",Nuel_writz,en,"['ObidientMovement', 'PeterObi', 'NigeriaDecides']",,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:29:55
1633233506577924097,Anybody attacking @PeterObi always gets disgraced. Oh Lord remember the same judgment @inecnigeria chairman,WisdomDavid_19,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:29:46
1633233472398434311,"As part of an ongoing election-related consultations, Our own Peter Obi has met twice with the former President of South Africa and Head of the Commonwealth Observer Mission to Nigeria, H.E. Mr. Thabo Mbeki and his Team. The discussions were quite constructive. We move! https://t.co/IcGe7IVFjy",ladyhenrie,en,,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqppKhxX0AEqXV2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqppKhxX0AEqXV2?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqppLRRXoAQsStX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqppLRRXoAQsStX?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqppLt9X0AASK8X?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqppLt9X0AASK8X?format=jpg&name=orig', altText=None)]",22,2023,3,March,7,Tuesday,10,2023-03-07,22:29:38
1633233370615361546,"They never believed in us but God did it!!
#Chelsea https://t.co/HJyCUTnNgG",TitusVictor7,en,['Chelsea'],,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqppFaeX0AEqitF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqppFaeX0AEqitF?format=jpg&name=orig', altText=None)]",22,2023,3,March,7,Tuesday,10,2023-03-07,22:29:14
1633233321244123139,"PDP guys are dying of bitterness.

There bitterness for Peter Obi is suffocating unfortunately for them, the man is going about his business. They tackle everything Peter Obi. 

You guys should calm down. He is not the reason PDP failed to win election.",OfunreIriobe,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:29:02
1633233293880483840,Peter Obi did not send you please sit this one out,loisimon_,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:28:55
1633233225781846016,"Frank Nweke of APGA a great man however Mr Chijioke Edoga is an outstanding fellow who has all qualities to make Enugu great again! 
He stood with us and delivered Victory Vote Blocks for our Principal Peter Obi!
 So we MUST Deliver Enugu Vote blocks for Edoga! https://t.co/vmGbtVD9v0",Princeujay,en,,,2,4,15,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Fqpo9OmWAAAA2oT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fqpo9OmWAAAA2oT?format=jpg&name=orig', altText=None)]",22,2023,3,March,7,Tuesday,10,2023-03-07,22:28:39
1633233103639420930,Peter Obi is bad Peter Obi is bad but Jide dey copy every template from his book. Every single one of them,ugoosings,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:28:10
1633233085956333568,"Whichever Party you belong, if you dont give @PeterObi his flowers you have evil spirit, the man try. ❤",Dab4Youth,en,,,2,1,3,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:28:06
1633233056646479874,"He said ""Peter Obi is now an institution now oo"" 😂😂😂😂",SmithAnyaele,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:27:59
1633233010228092932,"ThankGod for Twitter ooh ??
Jack abi Elon or Melon.
This is only credible source of media outreach, God knows the kinda of propaganda thru could have spread about Peter Obi",Nwokeudo1,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:27:48
1633232947796140033,"LP from Top to Bottom. Any Obidients supporting any other candidates apart from LP is a big mugu and naive, Disobedient and disloyal fellow. Obidient is better sacrifices. Make una get sense and stop the naiveness #PeterObi #Inecportal https://t.co/MR5mvVUH4o",firstladyshipPA,en,"['PeterObi', 'Inecportal']",,1,0,1,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FqpossraQAEL5qa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqpossraQAEL5qa?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqposssaYAEDXVP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqposssaYAEDXVP?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqpossoaYAEBchM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqpossoaYAEBchM?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqpossoaQAEtORG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqpossoaQAEtORG?format=jpg&name=orig', altText=None)]",22,2023,3,March,7,Tuesday,10,2023-03-07,22:27:33
1633232859472248834,"There's nothing to defend about Tinubu,  the truth is everywhere. Just tell him to give Peter Obi his certificate.",Awokenhope1,en,,,0,0,3,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:27:12
1633232788181639169,"Peter Obi will reclaim his mandate
And he will deliver
The good people of Nigeria will have the full power of voting out any politician that's not keeping to promise 
There shall be reduction of abnormalities in the Economy",adesholapearl,en,,,0,0,0,0,,22,2023,3,March,7,Tuesday,10,2023-03-07,22:26:55
